Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
51,Andrew Bogut\bogutan01,C,32,TOT,27,583,9.3,.460,.012,.136,10.6,34.1,21.8,12.2,1.2,3.8,33.4,10.5,,-0.3,1.0,0.7,.059,,-5.5,5.4,-0.1,0.3
52,Joel Bolomboy\bolomjo01,PF,23,UTA,9,20,22.6,.592,.200,.800,6.0,50.4,28.9,8.2,2.6,4.1,12.9,18.1,,0.0,0.1,0.1,.213,,-3.7,4.0,0.3,0.0
53,Devin Booker\bookede01,SG,20,PHO,63,2172,13.8,.532,.293,.294,1.7,8.0,4.8,15.3,1.2,0.7,13.3,27.6,,0.9,0.5,1.4,.031,,-0.1,-2.7,-2.8,-0.4
54,Trevor Booker\booketr01,PF,29,BRK,58,1506,16.1,.562,.127,.209,8.6,26.2,17.5,13.3,2.2,1.3,17.0,17.9,,1.1,1.7,2.8,.090,,-1.3,2.0,0.7,1.0
55,Avery Bradley\bradlav01,SG,26,BOS,41,1373,15.2,.556,.348,.123,3.6,17.7,10.7,11.2,1.8,0.5,10.0,22.5,,0.9,1.5,2.4,.085,,0.0,-0.4,-0.4,0.6
56,Corey Brewer\breweco01,SF,30,TOT,64,991,8.1,.498,.402,.183,2.4,11.4,6.9,9.4,2.0,1.2,12.9,13.4,,0.1,0.9,1.0,.049,,-2.9,0.0,-2.9,-0.2
57,Malcolm Brogdon\brogdma01,SG,24,MIL,63,1625,14.2,.548,.300,.213,2.6,9.3,6.0,23.4,2.2,0.4,14.6,18.5,,1.8,1.2,3.0,.088,,0.2,-1.4,-1.1,0.4
58,Aaron Brooks\brookaa01,PG,32,IND,50,675,10.1,.496,.444,.125,2.4,6.3,4.4,22.5,1.7,1.0,17.0,19.6,,-0.2,0.4,0.2,.015,,-1.9,-2.4,-4.2,-0.4
59,Anthony Brown\brownan02,SF,24,TOT,11,159,7.2,.430,.540,.000,5.3,16.8,11.0,7.8,1.5,0.5,10.7,15.6,,-0.2,0.2,0.0,.004,,-3.8,-0.2,-4.0,-0.1
60,Bobby Brown\brownbo02,PG,32,HOU,19,54,-1.1,.333,.500,.000,0.0,10.2,5.1,5.4,0.0,0.0,6.3,25.2,,-0.2,0.0,-0.2,-0.181,,-9.7,-6.4,-16.1,-0.2
61,Jaylen Brown\brownja02,SF,20,BOS,61,1017,10.7,.534,.278,.350,4.1,15.0,9.6,7.0,1.4,1.3,12.0,18.2,,0.2,1.0,1.2,.057,,-3.2,-0.7,-3.9,-0.5
62,Nicolas Brussino\brussni01,SF,23,DAL,41,276,10.4,.486,.677,.138,5.3,16.0,10.4,15.2,1.9,1.6,15.9,14.1,,0.0,0.3,0.4,.063,,-2.1,1.2,-0.9,0.1
63,Reggie Bullock\bullore01,SF,25,DET,18,244,10.2,.517,.493,.090,3.1,10.7,6.8,9.2,1.2,1.0,9.1,14.0,,0.1,0.2,0.4,.072,,-1.4,0.0,-1.5,0.0
64,Trey Burke\burketr01,PG,24,WAS,54,662,10.0,.512,.258,.113,1.2,6.4,3.8,20.6,0.7,0.6,14.9,19.6,,0.1,0.3,0.4,.028,,-3.0,-3.4,-6.4,-0.7
65,Alec Burks\burksal01,SG,25,UTA,29,454,12.3,.521,.322,.288,2.9,14.6,8.9,7.1,1.8,0.5,11.1,23.1,,0.0,0.7,0.7,.071,,-2.5,-0.8,-3.3,-0.2
66,Jimmy Butler\butleji01,SF,27,CHI,58,2133,24.7,.581,.213,.561,4.8,13.7,9.2,23.7,2.6,0.7,9.6,26.9,,7.3,2.6,9.9,.222,,5.6,0.7,6.3,4.5
67,Bruno Caboclo\cabocbr01,SF,21,TOR,8,23,7.9,.300,.600,.000,14.6,14.8,14.7,16.9,4.4,0.0,28.6,13.6,,0.0,0.0,0.0,.006,,-2.2,2.6,0.3,0.0
68,Jose Calderon\caldejo01,PG,35,TOT,25,304,8.6,.495,.456,.051,2.8,12.2,7.3,24.5,1.1,0.3,24.4,15.0,,-0.1,0.1,0.0,-0.005,,-3.2,-2.4,-5.6,-0.3
69,Kentavious Caldwell-Pope\caldwke01,SG,23,DET,59,2012,13.7,.533,.461,.202,2.5,8.7,5.5,11.6,1.9,0.5,7.9,19.0,,2.2,2.1,4.2,.101,,1.5,0.3,1.8,1.9
70,Isaiah Canaan\canaais01,SG,25,CHI,34,574,8.3,.490,.537,.189,1.1,7.9,4.5,8.9,1.8,0.1,9.7,14.9,,0.1,0.4,0.5,.044,,-2.0,-1.3,-3.3,-0.2
71,Clint Capela\capelca01,C,22,HOU,50,1176,21.4,.638,.000,.331,11.9,24.7,18.3,6.2,1.0,4.4,11.9,20.1,,2.8,1.7,4.5,.183,,-0.2,0.8,0.6,0.8
72,DeMarre Carroll\carrode01,SF,30,TOR,58,1583,12.0,.534,.572,.207,3.8,13.2,8.5,5.5,2.1,1.2,8.1,15.4,,1.5,1.5,3.1,.093,,0.7,0.2,0.9,1.1
73,Vince Carter\cartevi01,SG,40,MEM,56,1326,11.5,.525,.587,.249,2.2,12.9,7.4,11.4,1.7,2.0,7.3,15.4,,1.3,1.6,2.9,.104,,-0.1,0.8,0.7,0.9
74,Michael Carter-Williams\cartemi01,PG,25,CHI,28,597,10.5,.462,.213,.289,3.2,19.8,11.4,18.2,1.8,1.6,16.5,20.8,,-0.5,0.8,0.2,.020,,-3.6,1.1,-2.6,-0.1
75,Omri Casspi\casspom01,SF,28,TOT,23,421,11.4,.521,.262,.167,5.8,19.5,12.7,9.7,1.2,0.2,12.3,16.6,,0.1,0.3,0.4,.044,,-2.6,-1.2,-3.8,-0.2
76,Willie Cauley-Stein\caulewi01,C,23,SAC,57,866,15.5,.560,.007,.290,7.4,16.2,11.8,7.3,1.9,3.2,10.7,19.6,,0.8,0.9,1.7,.095,,-2.2,0.2,-2.0,0.0
77,Tyson Chandler\chandty01,C,34,PHO,47,1298,16.7,.703,.000,.544,12.9,33.7,23.0,3.3,1.2,1.5,19.2,11.4,,2.8,1.3,4.1,.152,,-0.6,0.3,-0.3,0.6
78,Wilson Chandler\chandwi01,SF,29,DEN,58,1801,15.5,.543,.338,.211,5.7,18.2,11.9,10.7,1.3,1.0,10.6,22.7,,2.1,0.9,3.0,.079,,0.7,-1.4,-0.7,0.6
79,Marquese Chriss\chrisma01,PF,19,PHO,64,1253,11.5,.514,.351,.258,6.2,14.1,10.1,4.9,2.0,2.9,12.1,19.2,,0.2,1.0,1.2,.046,,-1.7,-0.1,-1.8,0.1
80,Rakeem Christmas\chrisra01,PF,25,IND,14,105,11.7,.572,.000,.458,15.2,16.7,16.0,2.7,0.5,4.1,19.5,15.3,,0.1,0.1,0.2,.095,,-3.3,-0.7,-4.0,-0.1
81,Semaj Christon\chrisse01,PG,24,OKC,46,638,5.5,.369,.268,.149,2.6,7.7,5.2,21.0,1.2,0.6,15.2,14.1,,-0.6,0.4,-0.2,-0.014,,-5.5,-2.0,-7.5,-0.9
82,Ian Clark\clarkia01,SG,25,GSW,59,793,14.0,.584,.408,.150,2.4,8.3,5.5,11.8,1.9,0.6,9.8,18.8,,1.0,0.9,1.9,.114,,0.1,-1.5,-1.4,0.1
83,Jordan Clarkson\clarkjo01,SG,24,LAL,64,1765,13.4,.529,.315,.159,2.3,9.2,5.6,13.1,2.2,0.3,12.8,23.6,,0.2,0.7,0.9,.025,,-0.7,-2.1,-2.8,-0.3
