Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
11,Justin Anderson\anderju01,SF,24,PHI,5,0,12.0,1.6,5.0,.320,1.0,3.0,.333,0.6,2.0,.300,.420,0.4,0.8,.500,0.6,1.2,1.8,0.2,0.2,0.2,0.4,1.8,4.6
12,Kyle Anderson\anderky01,SF,24,SAS,10,10,25.6,3.0,6.6,.455,0.2,0.6,.333,2.8,6.0,.467,.470,1.5,2.0,.750,1.9,4.8,6.7,2.0,0.7,1.1,0.9,1.6,7.7
13,Ryan Anderson\anderry01,PF,29,HOU,11,11,31.2,4.2,9.6,.434,3.0,7.9,.379,1.2,1.7,.684,.590,1.1,1.3,.857,1.0,4.6,5.6,0.5,0.3,0.5,0.5,2.0,12.5
14,Ike Anigbogu\anigbik01,C,19,IND,4,0,3.0,0.3,0.8,.333,0.0,0.0,"",0.3,0.8,.333,.333,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.3,0.3,0.5,0.3,1.0
15,Giannis Antetokounmpo\antetgi01,PF,23,MIL,9,9,36.9,12.1,20.8,.583,0.8,2.3,.333,11.3,18.4,.614,.602,6.0,7.6,.794,1.3,8.6,9.9,5.0,1.7,1.4,3.2,3.6,31.0
16,Carmelo Anthony\anthoca01,SF,33,OKC,9,9,32.2,7.4,17.1,.435,2.1,6.4,.328,5.3,10.7,.500,.497,3.6,4.3,.821,0.7,5.0,5.7,1.6,0.9,1.0,1.8,3.1,20.6
17,OG Anunoby\anunoog01,SF,20,TOR,9,0,17.1,1.9,5.1,.370,0.9,2.7,.333,1.0,2.4,.409,.457,0.6,1.0,.556,0.9,1.4,2.3,1.4,0.8,0.1,0.1,1.8,5.2
18,Ryan Arcidiacono\arcidry01,PG,23,CHI,1,0,5.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,"",.000,0.0,0.0,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
19,Trevor Ariza\arizatr01,SF,32,HOU,9,9,35.0,2.9,8.3,.347,1.8,6.2,.286,1.1,2.1,.526,.453,1.2,1.2,1.000,0.8,4.0,4.8,3.1,1.3,0.2,1.0,2.1,8.8
20,Darrell Arthur\arthuda01,PF,29,DEN,2,0,9.5,0.5,3.0,.167,0.0,2.0,.000,0.5,1.0,.500,.167,0.0,0.0,"",0.5,1.0,1.5,0.5,0.5,0.0,0.5,1.0,1.0
21,D.J. Augustin\augusdj01,PG,30,ORL,8,6,22.5,2.5,5.4,.465,0.9,2.3,.389,1.6,3.1,.520,.547,2.4,2.8,.864,0.3,1.8,2.0,5.1,1.4,0.0,1.3,1.9,8.3
22,Luke Babbitt\babbilu01,SF,28,ATL,10,1,17.6,2.7,5.4,.500,1.4,3.2,.438,1.3,2.2,.591,.630,0.3,0.4,.750,0.1,2.0,2.1,0.4,0.3,0.1,0.5,1.3,7.1
23,Dwayne Bacon\bacondw01,SG,22,CHO,10,5,24.8,2.5,6.9,.362,0.9,2.4,.375,1.6,4.5,.356,.428,0.7,0.9,.778,0.0,5.1,5.1,1.1,0.6,0.2,0.9,2.0,6.6
24,Ron Baker\bakerro01,SG,24,NYK,3,0,16.0,0.7,2.3,.286,0.7,1.0,.667,0.0,1.3,.000,.429,1.7,3.3,.500,0.0,0.7,0.7,3.7,1.3,0.0,2.0,1.0,3.7
25,Lonzo Ball\balllo01,PG,20,LAL,10,10,33.0,3.5,11.7,.299,1.1,4.7,.234,2.4,7.0,.343,.346,0.7,1.3,.538,1.1,5.3,6.4,6.9,1.1,0.6,2.4,1.8,8.8
26,J.J. Barea\bareajo01,PG,33,DAL,11,1,22.5,4.6,10.7,.432,2.0,4.9,.407,2.6,5.8,.453,.525,1.3,1.7,.737,0.4,2.8,3.2,4.6,0.4,0.1,2.5,1.4,12.5
27,Harrison Barnes\barneha02,PF,25,DAL,11,11,34.6,6.4,15.0,.424,1.4,4.3,.319,5.0,10.7,.466,.470,3.2,4.4,.729,1.1,4.8,5.9,1.9,0.6,0.1,1.6,1.5,17.3
28,Will Barton\bartowi01,SG,27,DEN,10,0,28.0,5.2,11.7,.444,2.0,4.8,.417,3.2,6.9,.464,.530,1.6,2.7,.593,0.9,4.2,5.1,2.8,1.2,0.2,1.5,2.0,14.0
29,Jerryd Bayless\bayleje01,SG,29,PHI,9,7,31.1,3.9,8.4,.461,2.1,5.0,.422,1.8,3.4,.516,.586,1.1,1.3,.833,0.2,2.6,2.8,2.0,0.8,0.2,1.3,2.8,11.0
30,Aron Baynes\baynear01,C,31,BOS,10,6,19.5,2.5,4.9,.510,0.0,0.0,"",2.5,4.9,.510,.510,1.2,1.7,.706,2.0,3.8,5.8,0.9,0.3,0.8,0.8,2.6,6.2
31,Kent Bazemore\bazemke01,SG,28,ATL,10,10,29.6,4.1,11.1,.369,1.0,3.6,.278,3.1,7.5,.413,.414,4.0,5.2,.769,0.6,3.6,4.2,3.7,1.9,0.6,2.5,2.4,13.2
32,Bradley Beal\bealbr01,SG,24,WAS,9,9,34.2,9.1,18.1,.503,1.9,5.2,.362,7.2,12.9,.560,.555,5.6,6.8,.820,1.3,3.3,4.7,3.1,1.1,0.6,2.3,1.7,25.7
33,Malik Beasley\beaslma01,SG,21,DEN,10,0,9.6,0.9,2.4,.375,0.4,1.2,.333,0.5,1.2,.417,.458,0.0,0.2,.000,0.3,1.2,1.5,0.6,0.1,0.0,0.4,1.0,2.2
34,Michael Beasley\beaslmi01,PF,29,NYK,8,0,11.1,1.9,4.0,.469,0.0,0.6,.000,1.9,3.4,.556,.469,0.6,1.0,.625,0.3,1.8,2.0,0.9,0.1,0.0,0.9,1.0,4.4
35,Marco Belinelli\belinma01,SG,31,ATL,10,0,25.7,3.6,9.5,.379,2.3,5.1,.451,1.3,4.4,.295,.500,1.5,1.6,.938,0.2,2.1,2.3,2.4,0.8,0.0,1.2,0.7,11.0
36,Jordan Bell\belljo01,C,23,GSW,8,0,9.1,2.1,3.0,.708,0.0,0.0,"",2.1,3.0,.708,.708,0.0,0.1,.000,0.9,1.5,2.4,1.0,0.6,0.6,0.5,1.9,4.3
37,DeAndre' Bembry\bembrde01,SF,23,ATL,1,0,18.0,3.0,6.0,.500,0.0,1.0,.000,3.0,5.0,.600,.500,0.0,0.0,"",1.0,5.0,6.0,1.0,2.0,1.0,2.0,0.0,6.0
38,Dragan Bender\bendedr01,PF,20,PHO,10,0,21.8,1.7,5.0,.340,1.1,3.6,.306,0.6,1.4,.429,.450,0.7,0.7,1.000,0.5,4.1,4.6,0.9,0.4,1.0,1.4,1.4,5.2
39,Davis Bertans\bertada01,PF,25,SAS,6,0,6.8,0.7,2.2,.308,0.3,1.5,.222,0.3,0.7,.500,.385,0.3,0.5,.667,0.0,1.2,1.2,0.5,0.2,0.2,0.2,0.7,2.0
40,Patrick Beverley\beverpa01,SG,29,LAC,9,9,31.3,4.8,11.1,.430,2.3,5.2,.447,2.4,5.9,.415,.535,1.3,1.7,.800,1.8,2.2,4.0,3.0,2.1,0.4,2.2,3.2,13.2
41,Khem Birch\birchkh01,C,25,ORL,2,0,3.0,0.5,1.5,.333,0.0,0.0,"",0.5,1.5,.333,.333,0.0,0.0,"",1.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,1.0
42,Jabari Bird\birdja01,SG,23,BOS,2,0,8.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,"",.000,1.5,2.5,.600,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.5
43,Bismack Biyombo\biyombi01,C,25,ORL,10,0,13.8,1.3,3.0,.433,0.0,0.0,"",1.3,3.0,.433,.433,0.9,1.7,.529,1.4,2.7,4.1,0.0,0.2,1.0,1.3,2.7,3.5
44,Nemanja Bjelica\bjeline01,PF,29,MIN,10,0,15.5,2.8,4.4,.636,1.5,2.4,.625,1.3,2.0,.650,.807,1.1,1.2,.917,0.3,2.4,2.7,0.7,0.6,0.2,1.0,1.4,8.2
45,Tarik Black\blackta01,C,26,HOU,7,0,8.6,0.9,1.3,.667,0.0,0.1,.000,0.9,1.1,.750,.667,1.0,1.1,.875,0.4,2.0,2.4,0.6,0.6,0.6,0.4,2.4,2.7
46,Antonio Blakeney\blakean01,SG,21,CHI,1,0,1.0,1.0,1.0,1.000,0.0,0.0,"",1.0,1.0,1.000,1.000,0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
47,Eric Bledsoe\bledser01,PG,28,PHO,3,3,27.7,5.3,13.3,.400,1.3,4.3,.308,4.0,9.0,.444,.450,3.7,4.7,.786,1.0,1.3,2.3,3.0,1.3,0.7,3.3,2.0,15.7
48,Bogdan Bogdanovic\bogdabo01,SG,25,SAC,6,4,24.8,4.5,8.7,.519,0.8,2.5,.333,3.7,6.2,.595,.567,0.8,0.8,1.000,0.2,2.0,2.2,1.8,1.2,0.3,1.0,1.7,10.7
49,Bojan Bogdanovic\bogdabo02,SF,28,IND,10,10,29.1,4.8,9.6,.500,1.6,4.0,.400,3.2,5.6,.571,.583,2.1,2.5,.840,0.5,2.5,3.0,1.6,0.7,0.0,1.5,1.8,13.3
50,Andrew Bogut\bogutan01,C,33,LAL,6,0,7.2,0.5,0.8,.600,0.0,0.0,"",0.5,0.8,.600,.600,0.0,0.0,"",0.8,1.8,2.7,0.5,0.2,0.5,0.8,1.5,1.0
51,Devin Booker\bookede01,SG,21,PHO,10,10,32.3,7.7,17.1,.450,2.3,6.0,.383,5.4,11.1,.486,.518,4.3,4.7,.915,0.5,4.4,4.9,3.8,0.9,0.2,2.9,2.5,22.0
