Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
55,Corey Brewer\breweco01,SF,31,LAL,11,156,3.7,.389,.217,.391,2.1,11.0,6.8,6.5,1.5,1.5,18.2,8.9,"",-0.2,0.2,0.0,.010,"",-5.0,1.9,-3.1,0.0
56,Malcolm Brogdon\brogdma01,PG,25,MIL,9,302,17.1,.620,.376,.183,0.8,7.1,4.0,22.4,1.5,0.6,12.0,20.3,"",0.7,0.0,0.7,.114,"",2.7,-3.7,-1.0,0.1
57,Aaron Brooks\brookaa01,PG,33,MIN,5,11,40.2,.635,.429,.286,10.4,21.3,15.8,19.8,4.4,0.0,0.0,30.8,"",0.1,0.0,0.1,.342,"",13.6,-1.0,12.6,0.0
58,Dillon Brooks\brookdi01,SF,22,MEM,11,326,7.6,.507,.325,.241,2.5,13.7,8.2,6.8,2.2,1.4,18.6,15.8,"",-0.3,0.5,0.2,.031,"",-3.4,2.1,-1.3,0.1
59,Bobby Brown\brownbo02,PG,33,HOU,6,67,7.9,.468,.677,.000,0.0,8.4,4.2,11.9,1.4,0.0,11.4,22.8,"",-0.1,0.1,0.0,-0.019,"",-3.1,-3.5,-6.6,-0.1
60,Jaylen Brown\brownja02,SF,21,BOS,12,380,13.5,.543,.390,.369,4.0,18.6,11.4,5.2,1.4,0.4,9.9,20.9,"",0.3,0.8,1.1,.133,"",-1.3,0.4,-0.9,0.1
61,Sterling Brown\brownst02,SG,22,MIL,3,16,9.6,.500,.400,.000,0.0,15.0,7.6,17.6,3.1,0.0,16.7,17.2,"",0.0,0.0,0.0,.007,"",-2.9,-1.6,-4.5,0.0
62,Nicolas Brussino\brussni01,SF,24,ATL,3,10,-4.7,.000,1.000,.000,0.0,32.4,16.0,0.0,0.0,0.0,0.0,8.7,"",0.0,0.0,0.0,-0.191,"",-12.8,-5.0,-17.8,0.0
63,Reggie Bullock\bullore01,SF,26,DET,6,93,4.9,.313,.579,.211,0.0,6.5,3.1,9.4,2.7,0.9,8.8,10.7,"",-0.1,0.1,0.0,-0.008,"",-4.5,1.7,-2.8,0.0
64,Alec Burks\burksal01,SG,26,UTA,10,137,9.5,.514,.327,.163,0.0,16.2,7.9,6.1,2.2,1.3,14.6,20.0,"",-0.1,0.2,0.1,.024,"",-4.6,-0.1,-4.7,-0.1
65,Jimmy Butler\butleji01,SG,28,MIN,9,320,13.8,.529,.193,.330,1.8,14.7,8.2,17.1,2.3,0.0,14.4,19.6,"",0.3,0.1,0.4,.060,"",0.2,-0.4,-0.2,0.1
66,Bruno Caboclo\cabocbr01,SF,22,TOR,2,7,-0.1,.000,1.000,.000,0.0,16.4,8.3,17.2,6.9,0.0,0.0,12.5,"",0.0,0.0,0.0,-0.124,"",-5.4,4.3,-1.1,0.0
67,Jose Calderon\caldejo01,PG,36,CLE,6,37,2.7,.500,.286,.000,0.0,9.2,4.6,14.5,0.0,0.0,36.4,13.0,"",-0.1,0.0,-0.1,-0.122,"",-6.6,-4.1,-10.8,-0.1
68,Kentavious Caldwell-Pope\caldwke01,SG,24,LAL,9,294,10.6,.533,.471,.253,1.1,13.8,7.7,10.4,1.9,0.8,14.2,16.1,"",0.0,0.4,0.5,.074,"",-1.0,1.0,0.0,0.1
69,Isaiah Canaan\canaais01,SG,26,HOU,1,4,-7.4,.000,.000,.000,0.0,28.2,14.1,0.0,0.0,0.0,0.0,10.9,"",0.0,0.0,0.0,-0.229,"",-16.7,-3.8,-20.5,0.0
70,Clint Capela\capelca01,C,23,HOU,11,266,28.6,.706,.011,.258,14.0,35.6,24.8,8.7,1.8,5.9,12.4,18.6,"",1.1,0.6,1.7,.305,"",2.1,4.0,6.1,0.6
71,DeMarre Carroll\carrode01,SF,31,BRK,10,282,16.1,.559,.450,.410,4.8,20.2,12.1,8.0,2.4,1.3,9.2,18.4,"",0.4,0.3,0.7,.122,"",0.1,0.6,0.7,0.2
72,Vince Carter\cartevi01,SF,41,SAC,9,108,1.7,.351,.677,.129,0.0,10.5,5.1,9.1,1.9,0.9,13.2,15.6,"",-0.3,0.1,-0.2,-0.088,"",-5.4,-1.1,-6.5,-0.1
73,Michael Carter-Williams\cartemi01,PG,26,CHO,2,28,12.8,.258,.167,.667,7.5,7.4,7.4,18.9,6.9,3.0,0.0,12.0,"",0.0,0.1,0.1,.096,"",-2.0,6.9,4.8,0.0
74,Alex Caruso\carusal01,PG,23,LAL,2,19,4.9,.500,.000,.000,0.0,10.6,5.6,26.6,0.0,0.0,50.0,8.9,"",0.0,0.0,0.0,-0.018,"",-7.0,-2.1,-9.1,0.0
75,Omri Casspi\casspom01,SF,29,GSW,9,86,23.8,.763,.136,.636,5.6,25.9,16.6,12.3,2.2,4.5,15.1,16.6,"",0.3,0.2,0.5,.282,"",2.8,2.6,5.3,0.2
76,Willie Cauley-Stein\caulewi01,C,24,SAC,10,249,16.7,.554,.030,.269,7.4,20.4,13.8,13.3,1.8,3.6,12.8,15.4,"",0.3,0.3,0.6,.121,"",-0.7,2.7,2.0,0.3
77,Tyler Cavanaugh\cavanty01,PF,23,ATL,2,3,-1.7,"","","",0.0,36.0,17.8,0.0,0.0,0.0,"",0.0,"",0.0,0.0,0.0,.038,"",-9.7,-2.0,-11.7,0.0
78,Mario Chalmers\chalmma01,PG,31,MEM,11,253,9.8,.450,.388,.341,0.5,11.9,6.3,23.4,2.8,0.7,14.1,20.6,"",-0.2,0.4,0.2,.040,"",-2.4,0.8,-1.6,0.0
79,Tyson Chandler\chandty01,C,35,PHO,11,280,12.7,.620,.000,.444,12.2,25.6,18.7,3.8,0.7,1.6,22.7,12.4,"",0.3,0.1,0.4,.076,"",-1.9,-0.7,-2.6,0.0
80,Wilson Chandler\chandwi01,SF,30,DEN,11,332,9.4,.502,.337,.181,4.6,10.2,7.4,11.1,0.9,1.3,13.5,13.3,"",0.2,0.2,0.4,.053,"",-1.6,-0.4,-2.0,0.0
81,Marquese Chriss\chrisma01,PF,20,PHO,12,240,10.3,.507,.414,.257,2.5,23.3,12.6,10.6,1.5,3.8,16.1,16.0,"",0.0,0.2,0.2,.033,"",-2.7,1.2,-1.5,0.0
82,Ian Clark\clarkia01,SG,26,NOP,11,206,8.8,.504,.565,.129,1.1,10.0,5.6,15.3,0.9,0.0,10.9,15.3,"",0.1,0.1,0.2,.053,"",-2.0,-2.1,-4.1,-0.1
83,Jordan Clarkson\clarkjo01,SG,25,LAL,11,232,21.7,.592,.248,.240,2.9,9.6,6.4,26.2,1.8,0.0,14.4,30.2,"",0.4,0.3,0.7,.141,"",3.6,-1.9,1.7,0.2
84,Gian Clavell\clavegi01,SG,24,DAL,6,56,7.5,.500,.867,.000,1.8,12.5,6.9,8.2,1.8,0.0,6.3,12.7,"",0.0,0.0,0.0,.037,"",-1.0,-1.5,-2.4,0.0
85,John Collins\collijo01,PF,20,ATL,11,223,20.6,.547,.011,.443,18.0,22.3,20.1,5.3,1.1,5.2,11.7,23.1,"",0.5,0.2,0.7,.146,"",-0.9,-0.3,-1.1,0.0
86,Zach Collins\colliza01,C,20,POR,3,25,-13.5,.000,.286,.000,8.8,4.4,6.6,5.2,0.0,0.0,12.5,13.7,"",-0.1,0.0,-0.1,-0.248,"",-11.0,-1.7,-12.7,-0.1
87,Darren Collison\collida01,PG,30,IND,12,382,17.5,.576,.331,.237,1.7,8.4,5.1,29.8,1.8,0.2,12.1,16.7,"",1.0,0.1,1.2,.146,"",2.8,-2.1,0.7,0.3
88,Nick Collison\collini01,PF,37,OKC,1,5,6.9,"","","",0.0,0.0,0.0,24.9,0.0,0.0,"",0.0,"",0.0,0.0,0.0,.116,"",-7.3,-5.8,-13.1,0.0
89,Mike Conley\conlemi01,PG,30,MEM,10,312,18.9,.543,.462,.414,0.0,9.7,4.9,24.1,1.6,0.9,8.0,27.4,"",0.6,0.4,1.0,.151,"",3.1,-1.6,1.5,0.3
90,Pat Connaughton\connapa01,SG,25,POR,11,235,9.3,.612,.672,.164,0.0,13.1,6.6,5.2,0.0,0.4,10.9,13.4,"",0.3,0.2,0.5,.105,"",0.0,-1.6,-1.6,0.0
91,Quinn Cook\cookqu01,PG,24,GSW,1,1,61.5,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,"",0.0,0.0,0.0,1.328,"",22.1,-12.8,9.3,0.0
92,Charles Cooke\cookech01,SG,23,NOP,1,3,4.1,.250,.500,.000,0.0,0.0,0.0,0.0,15.9,0.0,0.0,57.3,"",0.0,0.0,0.0,-0.454,"",-14.5,-3.1,-17.5,0.0
93,DeMarcus Cousins\couside01,C,27,NOP,11,421,26.9,.595,.369,.427,6.2,30.7,18.8,27.1,2.2,4.2,16.6,32.7,"",1.0,0.9,1.9,.214,"",4.6,4.1,8.7,1.1
